Id_220,Id_107,ParameterId_220,CatalogItemId_220,ParameterId_107,CatalogItemId_107,conflict_type
2922,2357,444,1368,444,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2925,2368,445,1144,445,1144,BUSINESS_DUPLICATE_DIFFERENT_ID
2937,2376,445,1376,445,1376,BUSINESS_DUPLICATE_DIFFERENT_ID
2938,2371,445,1375,445,1375,BUSINESS_DUPLICATE_DIFFERENT_ID
2942,2370,445,1370,445,1370,BUSINESS_DUPLICATE_DIFFERENT_ID
2949,2382,447,1368,447,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2950,2381,447,1163,447,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
3013,2457,468,1163,468,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
3017,2452,468,1368,468,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
3026,2467,469,1368,469,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
3031,2465,469,1163,469,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
3063,2519,476,1370,476,1370,BUSINESS_DUPLICATE_DIFFERENT_ID
3070,2505,476,1375,476,1375,BUSINESS_DUPLICATE_DIFFERENT_ID
3071,2516,476,1376,476,1376,BUSINESS_DUPLICATE_DIFFERENT_ID
3080,2517,476,1144,476,1144,BUSINESS_DUPLICATE_DIFFERENT_ID
3085,2524,477,1163,477,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
3087,2523,477,1368,477,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
10304,10301,1842,1277,1842,1277,BUSINESS_DUPLICATE_DIFFERENT_ID
